               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10881,            0.034124,            0.028597,           0.0019357,               0.129,           0.0011837,          0.00044623,             0.10329,            0.017284,            0.027185,              0.0937,              0.0007,              0.0007
                   1,             0.10766,            0.036032,            0.028092,          0.00087762,             0.13433,          0.00088215,          0.00025364,             0.10272,            0.017342,             0.02706,            0.086499,           0.0014993,           0.0014993
                   2,             0.10574,             0.03641,             0.02782,          0.00090476,             0.14179,          0.00093168,           0.0002765,             0.10231,            0.017345,            0.026926,            0.079298,           0.0022977,           0.0022977
                   3,              0.1038,            0.037429,              0.0273,           0.0022165,              0.2619,           0.0017346,          0.00054933,             0.10199,            0.017306,            0.026776,            0.072095,           0.0030954,           0.0030954
                   4,             0.10212,            0.037803,            0.026857,           0.0013902,             0.21269,           0.0013987,           0.0007506,             0.10162,            0.017303,             0.02663,            0.064892,           0.0038923,           0.0038923
                   5,             0.10052,            0.038125,            0.026229,           0.0011691,             0.12162,          0.00091307,          0.00026285,             0.10119,            0.017329,            0.026468,            0.057688,           0.0046884,           0.0046884
                   6,            0.099799,            0.038861,            0.025841,            0.001162,             0.11789,          0.00092397,          0.00026083,             0.10076,            0.017495,            0.026343,            0.050484,           0.0054837,           0.0054837
                   7,            0.098832,            0.039109,            0.025578,           0.0016101,            0.099236,           0.0011205,           0.0003345,             0.10029,             0.01759,            0.026218,            0.043278,           0.0062782,           0.0062782
                   8,             0.09832,            0.041557,            0.025233,           0.0015594,            0.099236,           0.0016209,          0.00049793,            0.099975,            0.017643,            0.026071,            0.036072,           0.0070719,           0.0070719
                   9,            0.098355,            0.039097,              0.0249,           0.0020733,             0.13655,           0.0016837,          0.00045755,              0.0996,            0.017706,            0.025906,            0.028865,           0.0078648,           0.0078648
                  10,            0.097252,            0.040039,            0.024266,           0.0018997,             0.12536,           0.0015911,          0.00046439,            0.099288,            0.017755,            0.025751,            0.021657,           0.0086569,           0.0086569
                  11,            0.096962,            0.041095,            0.023884,           0.0018189,             0.16862,           0.0017413,          0.00044482,             0.09907,            0.017885,            0.025586,            0.014448,           0.0094483,           0.0094483
                  12,            0.096793,            0.039968,            0.023432,           0.0015614,             0.16267,           0.0019105,          0.00049683,            0.098798,            0.017945,            0.025409,           0.0099406,           0.0099406,           0.0099406
                  13,            0.095716,            0.042928,            0.023276,            0.029465,            0.011194,           0.0027472,          0.00075714,            0.098529,               0.018,            0.025256,           0.0099406,           0.0099406,           0.0099406
                  14,            0.095323,            0.042338,            0.022581,           0.0040983,            0.074627,           0.0024778,          0.00095122,             0.10045,            0.033055,            0.031927,           0.0099357,           0.0099357,           0.0099357
                  15,             0.09517,            0.042432,            0.022321,           0.0042757,              0.1306,           0.0027675,           0.0011501,                 nan,                 nan,             0.05253,           0.0099307,           0.0099307,           0.0099307
                  16,            0.094943,            0.040097,             0.02193,             0.51591,             0.10448,           0.0078203,           0.0033946,             0.11921,            0.071008,            0.074512,           0.0099258,           0.0099258,           0.0099258
                  17,            0.094857,            0.042247,            0.021191,             0.51796,            0.022388,           0.0091967,           0.0033138,             0.11575,            0.072925,            0.082147,           0.0099208,           0.0099208,           0.0099208
                  18,             0.09477,            0.041519,            0.020939,             0.50489,             0.14552,           0.0032158,            0.001475,             0.11813,            0.081391,            0.093872,           0.0099159,           0.0099159,           0.0099159
                  19,            0.093591,            0.040273,            0.020418,             0.50631,             0.13433,           0.0038516,           0.0015396,             0.11618,            0.022674,             0.06897,           0.0099109,           0.0099109,           0.0099109
                  20,            0.094167,            0.039737,            0.020148,             0.60368,            0.037313,            0.036601,            0.014315,            0.097014,             0.01878,            0.028711,            0.009906,            0.009906,            0.009906
